EVAN Toolbox
Principal Component Analysis (PCA)

Date:	Thu Aug 6 2020
Time:	19:17:40

	Eigenvalues	Variance (%)	Cumulative Variance (%)
PC 1	0.00172313	30.5013	30.5013
PC 2	0.000872268	15.4401	45.9415
PC 3	0.000608193	10.7657	56.7072
PC 4	0.000409184	7.24302	63.9502
PC 5	0.000298427	5.2825	69.2327
PC 6	0.000225202	3.98633	73.219
PC 7	0.000197421	3.49459	76.7136
PC 8	0.000162525	2.87688	79.5905
PC 9	0.000147498	2.61088	82.2014
PC 10	0.000135529	2.39903	84.6004
PC 11	0.000106001	1.87634	86.4767
PC 12	9.61506e-005	1.70198	88.1787
PC 13	8.64087e-005	1.52953	89.7083
PC 14	7.47137e-005	1.32252	91.0308
PC 15	6.74017e-005	1.19309	92.2239
PC 16	6.18931e-005	1.09558	93.3194
PC 17	5.73627e-005	1.01539	94.3348
PC 18	5.11592e-005	0.905576	95.2404
PC 19	4.52138e-005	0.800337	96.0407
PC 20	3.87843e-005	0.686527	96.7273
PC 21	3.27071e-005	0.578953	97.3062
PC 22	3.02786e-005	0.535966	97.8422
PC 23	2.83969e-005	0.502658	98.3448
PC 24	2.36186e-005	0.418077	98.7629
PC 25	2.27182e-005	0.402138	99.1651
PC 26	1.90352e-005	0.336944	99.502
PC 27	1.59603e-005	0.282515	99.7845
PC 28	1.21736e-005	0.215486	100
PC 29	2.45743e-033	4.34994e-029	100

PC Scores
	PC 1	PC 2	PC 3	PC 4	PC 5	PC 6	PC 7	PC 8	PC 9	PC 10	PC 11	PC 12	PC 13	PC 14	PC 15	PC 16	PC 17	PC 18	PC 19	PC 20	PC 21	PC 22	PC 23	PC 24	PC 25	PC 26	PC 27	PC 28	PC 29
PT_0004182_M	-0.0541777	-0.00364893	-0.0338611	0.0170159	-0.0119585	0.0137323	-0.00494831	0.0204034	-0.00982745	0.00939092	-0.0055174	0.0169086	-0.0063365	0.00293156	-0.00975496	0.00732445	-0.00220346	0.00099802	-0.00379216	0.00247622	-0.0030677	0.00703591	0.0087973	-0.00184278	0.000174312	0.00889247	-0.00450642	0.00245844	4.77627e-017
PT_0003956_M	-0.0371478	0.0118478	0.00509683	-0.00745312	-0.00250732	0.0225558	-0.00761772	0.0170171	-0.0099415	-0.0215023	0.00362072	0.0177576	-0.0083447	0.00931964	-0.000549873	-0.00770738	0.0095658	0.00891909	-0.00256527	-0.00457872	0.00467472	0.000117853	-0.00508447	0.00153452	0.00479967	-0.00781151	0.00424213	-0.00177514	4.89847e-017
PT_0008548_M_SAC_LO	0.022124	0.0361527	-0.00891368	0.000202237	-0.0145455	-0.00759787	-0.00739755	0.0104993	-0.000743883	-0.0118187	-0.00252571	-0.0165151	-0.00633701	-0.00701769	-0.00708082	0.00209235	0.0170999	-0.00914961	0.000764187	0.0128839	-7.21814e-005	0.00544785	0.000476752	0.00741966	-0.00388328	0.00208316	0.00407965	-0.00357574	4.93186e-017
PT_0000845_F_SAC_LO	0.0629649	0.0387204	-0.0373115	0.00726715	0.0377265	0.0158013	0.00210367	0.0122326	0.0001235	-0.00185622	-0.00391997	0.00537486	0.0220045	-0.00702885	-0.00371497	-0.0102756	0.00759894	-0.0042308	0.00287846	-0.00341508	-0.00266206	-0.00715889	-0.00173258	-0.00340536	-0.00162514	0.0025462	-0.00195478	0.00102587	5.04898e-017
PT_0004387_F_SAC_LO	-0.0497736	0.0240829	0.0468787	0.0116602	0.0141486	0.015472	-0.0273651	-0.00279912	0.0136741	-0.0133447	0.00235316	-0.0116665	0.0011307	0.000556714	-0.00284784	-0.00414897	-0.00933216	0.0010559	-0.000651675	0.00813079	-0.00347133	-0.00709029	0.0105144	-0.00299108	0.00300576	-0.00132481	-0.00330861	-0.00161342	4.91929e-017
PT_0000867_F_SAC_LO	0.0154737	-0.0476288	-0.0067679	-0.00480969	0.0104386	-0.00795757	-0.0068122	0.00672542	0.00299008	-0.000766383	-0.00563209	-0.0152289	0.00367243	0.00262828	-0.0111611	0.0155574	0.00586837	0.00141373	-0.000921784	0.00067248	0.00137518	-0.000751492	-0.00826024	-0.00250688	0.0144268	-0.00136693	-0.0042535	0.002238	4.82417e-017
PT_0010280_F_SAC_LO	0.00308042	0.0200075	0.0288162	-0.000511155	0.00588235	-0.0155004	0.00428159	0.0111591	0.00224018	8.96027e-006	0.0168032	0.00144256	0.0182471	0.00785913	0.00371871	0.0151145	-0.00177526	0.00230202	-0.0132979	-0.00606604	0.00396695	-0.00287003	0.0036817	0.00510641	-0.000420581	0.0056837	0.00669361	-0.000146266	4.89356e-017
PT_0000452_M_SAC_LO	0.0183217	0.050244	-0.0477605	-0.0317552	-0.00713983	-0.000911542	-0.00538302	-0.0158801	0.0120251	0.00643214	-0.00658299	-0.00920901	-0.00137999	0.00743483	0.00484597	0.000336199	0.00238659	0.00256974	-0.00679932	-0.00737894	0.00843609	0.00459741	0.00965419	0.000500828	0.000461267	-0.00608107	-0.00424666	0.00179806	4.91662e-017
PT_0000660_M_SAC_LO	0.00499546	0.0508177	0.00957006	0.0167128	-0.004829	-0.00511414	0.00476013	0.00292741	-0.0037226	0.000687782	-0.0277529	0.00531755	0.00191438	0.00585667	0.00573891	0.0172888	-0.00854739	0.00329596	0.0018794	0.00330597	-0.00751797	-0.00242521	-0.00671678	-0.000551761	-0.00561675	-0.00706144	3.1139e-005	-0.000332795	4.82151e-017
PT_0000496_F	-0.0102437	0.0466364	0.016695	-0.0398259	0.0271301	-0.0132287	0.00429578	-0.00498471	0.00631732	-0.00749804	0.00909708	0.00962754	-0.0140464	-0.00316625	0.00486273	0.00720952	-0.00191897	-0.00436738	0.0124946	-0.0031055	-0.00154778	0.00700069	-0.00295053	-0.00675114	0.00278762	0.0060739	-0.000545534	-0.00175145	4.91797e-017
